Program, Package , Core(s) , GPU , DRAM? , Time (sec) 
python3 insertion_sort.py 1 ,0.340332,0.21521,0.0,0.0,16728
python3 insertion_sort.py 1 ,0.223877,0.118286,0.0,0.0,12488
python3 insertion_sort.py 1 ,0.206116,0.0802,0.0,0.0,16479
python3 insertion_sort.py 1 ,0.246155,0.129578,0.0,0.0,12247
python3 insertion_sort.py 1 ,0.249817,0.133789,0.0,0.0,12687
python3 insertion_sort.py 1 ,0.204773,0.076599,0.0,0.0,18504
python3 insertion_sort.py 1 ,0.204102,0.075256,0.0,0.0,17902
python3 insertion_sort.py 1 ,0.253784,0.128235,0.0,0.0,15060
python3 insertion_sort.py 1 ,0.212585,0.080994,0.0,0.0,17686
python3 insertion_sort.py 1 ,0.217834,0.083435,0.0,0.0,17573
python3 quick_sort.py 1 ,0.237122,0.094421,0.0,0.0,18822
python3 quick_sort.py 1 ,0.230896,0.090759,0.0,0.0,19134
python3 quick_sort.py 1 ,0.273132,0.132874,0.020813,0.0,13908
python3 quick_sort.py 1 ,0.25824,0.137451,0.0,0.0,13867
python3 quick_sort.py 1 ,0.243408,0.092224,0.0,0.0,20130
python3 quick_sort.py 1 ,0.276489,0.146423,0.0,0.0,13737
python3 quick_sort.py 1 ,0.225037,0.0849,0.0,0.0,19922
python3 quick_sort.py 1 ,0.256409,0.11322,0.0,0.0,16620
python3 quick_sort.py 1 ,0.234375,0.102295,0.0,0.0,16763
python3 quick_sort.py 1 ,0.249817,0.097168,0.0,0.0,19721
insertion_sort 1 ,0.009888,0.003784,0.0,0.0,1201
insertion_sort 1 ,0.02124,0.005493,0.003052,0.0,1354
insertion_sort 1 ,0.011292,0.005005,0.0,0.0,999
insertion_sort 1 ,0.012207,0.005432,0.0,0.0,1023
insertion_sort 1 ,0.020935,0.004517,0.0,0.0,2627
insertion_sort 1 ,0.02063,0.004578,0.0,0.0,2617
insertion_sort 1 ,0.014099,0.007446,0.0,0.0,1048
insertion_sort 1 ,0.023926,0.007019,0.003296,0.0,1437
insertion_sort 1 ,0.00946,0.003052,0.0,0.0,1399
insertion_sort 1 ,0.019226,0.003235,0.0,0.0,2717
quick_sort 1 ,0.017639,0.005615,0.0,0.0,1408
quick_sort 1 ,0.011536,0.00531,0.0,0.0,954
quick_sort 1 ,0.015625,0.007568,0.0,0.0,985
quick_sort 1 ,0.012268,0.006104,0.0,0.0,1010
quick_sort 1 ,0.009949,0.003906,0.0,0.0,1025
quick_sort 1 ,0.015625,0.004456,0.0,0.0,1542
quick_sort 1 ,0.018677,0.003052,0.0,0.0,2659
quick_sort 1 ,0.009155,0.003784,0.0,0.0,1028
quick_sort 1 ,0.00708,0.002258,0.0,0.0,947
quick_sort 1 ,0.006531,0.002197,0.0,0.0,1021
python3 counting_sort.py 1 ,0.233826,0.089172,0.0,0.0,18971
python3 counting_sort.py 1 ,0.224609,0.087036,0.0,0.0,18799
python3 counting_sort.py 1 ,0.221436,0.08136,0.0,0.0,19721
python3 counting_sort.py 1 ,0.222656,0.080688,0.0,0.0,19455
python3 counting_sort.py 1 ,0.260925,0.139099,0.0,0.0,13416
python3 counting_sort.py 1 ,0.244934,0.131836,0.0,0.0,13122
python3 counting_sort.py 1 ,0.226135,0.084412,0.0,0.0,19394
python3 counting_sort.py 1 ,0.245361,0.130737,0.0,0.0,13002
python3 counting_sort.py 1 ,0.221008,0.083313,0.0,0.0,19038
python3 counting_sort.py 1 ,0.223328,0.095276,0.0,0.0,18787
counting_sort 1 ,0.009216,0.002686,0.0,0.0,1084
counting_sort 1 ,0.012268,0.00177,0.0,0.0,2206
counting_sort 1 ,0.014465,0.006104,0.0,0.0,1066
counting_sort 1 ,0.007446,0.002502,0.0,0.0,1092
counting_sort 1 ,0.009094,0.003601,0.0,0.0,1156
counting_sort 1 ,0.026367,0.016357,0.0,0.0,1045
counting_sort 1 ,0.0177,0.005798,0.0,0.0,1425
counting_sort 1 ,0.015076,0.007202,0.0,0.0,1060
counting_sort 1 ,0.011963,0.005127,0.0,0.0,1028
counting_sort 1 ,0.008362,0.002991,0.0,0.0,1052
